Index,WindCode,Date,Time,FunctionCode,OrderKind,BSFlag,TradePrice,TradeVolume,AskOrder,BidOrder
76,601318.SH,601318,20180716,92501630,0,0,83,583000,500,82192,4706
77,601318.SH,601318,20180716,92501630,0,0,83,583000,300,82192,5825
78,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,7815
79,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,9705
80,601318.SH,601318,20180716,92501630,0,0,83,583000,9300,82192,15163
81,601318.SH,601318,20180716,92501630,0,0,83,583000,1500,82192,15664
82,601318.SH,601318,20180716,92501630,0,0,83,583000,200,82192,18342
83,601318.SH,601318,20180716,92501630,0,0,83,583000,800,82192,20973
84,601318.SH,601318,20180716,92501630,0,0,83,583000,300,82192,23707
85,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,31714
86,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,40422
87,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,40928
88,601318.SH,601318,20180716,92501630,0,0,83,583000,300,82192,27475
89,601318.SH,601318,20180716,92501630,0,0,83,583000,200,82192,28148
90,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,40067
91,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,42861
92,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,45345
93,601318.SH,601318,20180716,92501630,0,0,83,583000,500,82192,45862
94,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,50183
95,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,51245
96,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,51331
97,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,57211
98,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,41532
99,601318.SH,601318,20180716,92501630,0,0,83,583000,300,82192,47888
100,601318.SH,601318,20180716,92501630,0,0,83,583000,1300,82192,58029
101,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,1254
102,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,3212
103,601318.SH,601318,20180716,92501630,0,0,83,583000,100,82192,20228
